Beat_Number,Time_seconds,Time_mm:ss.ms
1055,1020.2313,17:00.231
1056,1021.1917,17:01.192
1057,1022.1503,17:02.150
1058,1023.1087,17:03.109
1059,1024.0690,17:04.069
1060,1025.0700,17:05.070
1061,1026.0293,17:06.029
1062,1026.9897,17:06.990
1063,1027.9468,17:07.947
1064,1028.9065,17:08.907
1065,1029.9080,17:09.908
1066,1030.8685,17:10.869
1067,1031.8267,17:11.827
1068,1032.7860,17:12.786
1069,1033.7450,17:13.745
1070,1034.7460,17:14.746
1071,1035.7050,17:15.705
1072,1036.6653,17:16.665
1073,1037.6233,17:17.623
1074,1038.5830,17:18.583
1075,1039.5840,17:19.584
1076,1040.5432,17:20.543
1077,1041.5032,17:21.503
1078,1042.4623,17:22.462
1079,1043.4210,17:23.421
1080,1044.4225,17:24.422
1081,1045.3820,17:25.382
1082,1046.3415,17:26.341
1083,1047.3000,17:27.300
1084,1048.2593,17:28.259
1085,1049.2603,17:29.260
1086,1050.2195,17:30.219
1087,1051.1790,17:31.179
1088,1052.1380,17:32.138
1089,1053.0977,17:33.098
1090,1054.0990,17:34.099
1091,1055.0583,17:35.058
1092,1056.0175,17:36.017
1093,1056.9762,17:36.976
1094,1057.9355,17:37.936
1095,1058.9372,17:38.937
1096,1059.8960,17:39.896
1097,1060.8560,17:40.856
1098,1061.8145,17:41.814
1099,1062.7738,17:42.774
1100,1063.7755,17:43.775
1101,1064.7342,17:44.734
1102,1065.6937,17:45.694
1103,1066.6527,17:46.653
1104,1067.6125,17:47.612
1105,1068.6125,17:48.612
1106,1069.5738,17:49.574
1107,1070.5318,17:50.532
1108,1071.4907,17:51.491
1109,1072.4505,17:52.450
1110,1073.4510,17:53.451
1111,1074.4113,17:54.411
1112,1075.3700,17:55.370
1113,1076.3285,17:56.329
1114,1077.2883,17:57.288
1115,1078.2895,17:58.290
1116,1079.2485,17:59.248
1117,1080.2095,18:00.209
1118,1081.1665,18:01.167
1119,1082.1263,18:02.126
1120,1083.1278,18:03.128
1121,1084.0867,18:04.087
1122,1085.0467,18:05.047
1123,1086.0052,18:06.005
1124,1086.9648,18:06.965
1125,1087.9670,18:07.967
1126,1088.9255,18:08.926
1127,1089.8863,18:09.886
1128,1090.8438,18:10.844
1129,1091.8025,18:11.803
1130,1092.8040,18:12.804
1131,1093.7635,18:13.764
1132,1094.7238,18:14.724
1133,1095.6815,18:15.681
1134,1096.6415,18:16.641
1135,1097.6427,18:17.643
1136,1098.6020,18:18.602
1137,1099.5622,18:19.562
1138,1100.5193,18:20.519
1139,1101.4790,18:21.479
1140,1102.4805,18:22.480
1141,1103.4400,18:23.440
1142,1104.3992,18:24.399
1143,1105.3580,18:25.358
1144,1106.3173,18:26.317
1145,1107.3185,18:27.319
1146,1108.2777,18:28.278
1147,1109.2380,18:29.238
1148,1110.1960,18:30.196
1149,1111.1555,18:31.156
1150,1112.1562,18:32.156
1151,1113.1165,18:33.117
1152,1114.0757,18:34.076
1153,1115.0342,18:35.034
1154,1115.9938,18:35.994
1155,1116.9952,18:36.995
1156,1117.9548,18:37.955
1157,1118.9140,18:38.914
1158,1119.8727,18:39.873
1159,1120.8322,18:40.832
1160,1121.8328,18:41.833
1161,1122.7922,18:42.792
1162,1123.7517,18:43.752
1163,1124.7107,18:44.711
1164,1125.6702,18:45.670
1165,1126.6707,18:46.671
1166,1127.6302,18:47.630
1167,1128.5900,18:48.590
1168,1129.5483,18:49.548
1169,1130.5080,18:50.508
1170,1131.5093,18:51.509
1171,1132.4682,18:52.468
1172,1133.4288,18:53.429
1173,1134.3863,18:54.386
1174,1135.3457,18:55.346
1175,1136.3475,18:56.348
1176,1137.3077,18:57.308
1177,1138.2677,18:58.268
1178,1139.2248,18:59.225
1179,1140.1850,19:00.185
1180,1141.1860,19:01.186
1181,1142.1450,19:02.145
1182,1143.1055,19:03.105
1183,1144.0628,19:04.063
1184,1145.0228,19:05.023
1185,1146.0252,19:06.025
1186,1146.9832,19:06.983
1187,1147.9423,19:07.942
1188,1148.9015,19:08.901
1189,1149.8602,19:09.860
1190,1150.8620,19:10.862
1191,1151.8218,19:11.822
1192,1152.7818,19:12.782
1193,1153.7397,19:13.740
1194,1154.6992,19:14.699
1195,1155.7000,19:15.700
1196,1156.6592,19:16.659
1197,1157.6198,19:17.620
1198,1158.5780,19:18.578
1199,1159.5370,19:19.537
1200,1160.5380,19:20.538
1201,1161.4980,19:21.498
1202,1162.4570,19:22.457
1203,1163.4168,19:23.417
1204,1164.3757,19:24.376
1205,1165.3763,19:25.376
1206,1166.3363,19:26.336
1207,1167.2955,19:27.295
1208,1168.2550,19:28.255
1209,1169.2133,19:29.213
1210,1170.2145,19:30.215
1211,1171.1747,19:31.175
1212,1172.1340,19:32.134
1213,1173.0925,19:33.092
1214,1174.0520,19:34.052
1215,1175.0528,19:35.053
1216,1176.0122,19:36.012
1217,1176.9730,19:36.973
1218,1177.9307,19:37.931
1219,1178.8902,19:38.890
1220,1179.8905,19:39.890
1221,1180.8500,19:40.850
1222,1181.8097,19:41.810
1223,1182.7687,19:42.769
1224,1183.7272,19:43.727
1225,1184.7287,19:44.729
1226,1185.6888,19:45.689
1227,1186.6480,19:46.648
1228,1187.6065,19:47.607
1229,1188.5657,19:48.566
1230,1189.5683,19:49.568
1231,1190.5267,19:50.527
1232,1191.4860,19:51.486
1233,1192.4445,19:52.445
1234,1193.4050,19:53.405
1235,1194.4060,19:54.406
1236,1195.3650,19:55.365
1237,1196.3253,19:56.325
1238,1197.2832,19:57.283
1239,1198.2427,19:58.243
1240,1199.2430,19:59.243
1241,1200.2048,20:00.205
1242,1201.1627,20:01.163
1243,1202.1210,20:02.121
1244,1203.0810,20:03.081
1245,1204.0820,20:04.082
1246,1205.0418,20:05.042
1247,1206.0005,20:06.001
1248,1206.9600,20:06.960
1249,1207.9185,20:07.918
1250,1208.9210,20:08.921
1251,1209.8800,20:09.880
1252,1210.8398,20:10.840
1253,1211.7980,20:11.798
1254,1212.7570,20:12.757
1255,1213.7587,20:13.759
1256,1214.7182,20:14.718
1257,1215.6772,20:15.677
1258,1216.6365,20:16.637
1259,1217.5950,20:17.595
1260,1218.5965,20:18.597
1261,1219.5555,20:19.555
1262,1220.5158,20:20.516
1263,1221.4745,20:21.475
1264,1222.4335,20:22.434
1265,1223.4345,20:23.435
1266,1224.3947,20:24.395
1267,1225.3537,20:25.354
1268,1226.3118,20:26.312
1269,1227.2722,20:27.272
1270,1228.2728,20:28.273
1271,1229.2325,20:29.233
1272,1230.1923,20:30.192
1273,1231.1505,20:31.150
1274,1232.1092,20:32.109
1275,1233.1105,20:33.111
1276,1234.0702,20:34.070
1277,1235.0297,20:35.030
1278,1235.9885,20:35.988
1279,1236.9478,20:36.948
1280,1237.9492,20:37.949
1281,1238.9080,20:38.908
1282,1239.8675,20:39.868
1283,1240.8270,20:40.827
1284,1241.7860,20:41.786
1285,1242.7873,20:42.787
1286,1243.7468,20:43.747
1287,1244.7062,20:44.706
1288,1245.6650,20:45.665
1289,1246.6245,20:46.624
1290,1247.6255,20:47.626
1291,1248.5853,20:48.585
1292,1249.5445,20:49.544
1293,1250.5032,20:50.503
1294,1251.4623,20:51.462
1295,1252.4630,20:52.463
1296,1253.4235,20:53.424
1297,1254.3827,20:54.383
1298,1255.3410,20:55.341
1299,1256.3003,20:56.300
1300,1257.3010,20:57.301
1301,1258.2613,20:58.261
1302,1259.2207,20:59.221
