Beat_Number,Time_seconds,Time_mm:ss.ms
655,633.1785,10:33.178
656,634.1375,10:34.138
657,635.0973,10:35.097
658,636.0555,10:36.056
659,637.0153,10:37.015
660,638.0168,10:38.017
661,638.9757,10:38.976
662,639.9355,10:39.936
663,640.8943,10:40.894
664,641.8535,10:41.854
665,642.8542,10:42.854
666,643.8143,10:43.814
667,644.7740,10:44.774
668,645.7325,10:45.732
669,646.6915,10:46.692
670,647.6925,10:47.692
671,648.6520,10:48.652
672,649.6125,10:49.612
673,650.5702,10:50.570
674,651.5295,10:51.529
675,652.5310,10:52.531
676,653.4897,10:53.490
677,654.4493,10:54.449
678,655.4082,10:55.408
679,656.3678,10:56.368
680,657.3687,10:57.369
681,658.3280,10:58.328
682,659.2877,10:59.288
683,660.2468,11:00.247
684,661.2047,11:01.205
685,662.2073,11:02.207
686,663.1665,11:03.167
687,664.1263,11:04.126
688,665.0850,11:05.085
689,666.0445,11:06.044
690,667.0457,11:07.046
691,668.0047,11:08.005
692,668.9645,11:08.965
693,669.9233,11:09.923
694,670.8818,11:10.882
695,671.8835,11:11.884
696,672.8435,11:12.843
697,673.8025,11:13.803
698,674.7610,11:14.761
699,675.7205,11:15.721
700,676.7223,11:16.722
701,677.6815,11:17.682
702,678.6413,11:18.641
703,679.5992,11:19.599
704,680.5593,11:20.559
705,681.5595,11:21.559
706,682.5195,11:22.519
707,683.4792,11:23.479
708,684.4378,11:24.438
709,685.3967,11:25.397
710,686.3977,11:26.398
711,687.3575,11:27.357
712,688.3167,11:28.317
713,689.2750,11:29.275
714,690.2352,11:30.235
715,691.2365,11:31.236
716,692.1950,11:32.195
717,693.1553,11:33.155
718,694.1135,11:34.114
719,695.0730,11:35.073
720,696.0738,11:36.074
721,697.0338,11:37.034
722,697.9932,11:37.993
723,698.9512,11:38.951
724,699.9115,11:39.912
725,700.9122,11:40.912
726,701.8713,11:41.871
727,702.8318,11:42.832
728,703.7903,11:43.790
729,704.7503,11:44.750
730,705.7505,11:45.750
731,706.7102,11:46.710
732,707.6693,11:47.669
733,708.6285,11:48.629
734,709.5878,11:49.588
735,710.5883,11:50.588
736,711.5483,11:51.548
737,712.5080,11:52.508
738,713.4662,11:53.466
739,714.4262,11:54.426
